Rk,team,year,Date,Time,LTime,away,Opp,week,G#,Day,Result,OT,Att,Yds,Y/A,TD
668,OAK,2018,2018-11-11,4:05,1:05,,LAC,10,9,Sun,L 6-20,,26,113,4.35,0
669,LA,2017,2017-09-21,8:25,5:25,@,SF,3,3,Thu,W 41-39,,33,113,3.42,3
670,BAL,2018,2018-11-04,1:00,1:00,,PIT,9,9,Sun,L 16-23,,27,113,4.19,1
671,TB,2017,2017-10-05,8:25,8:25,,NE,5,4,Thu,L 14-19,,23,113,4.91,0
672,CIN,2017,2017-11-19,4:25,2:25,@,DEN,11,10,Sun,W 20-17,,34,112,3.29,1
673,CIN,2018,2018-10-14,1:00,1:00,,PIT,6,6,Sun,L 21-28,,21,112,5.33,2
674,IND,2018,2018-12-16,1:00,1:00,,DAL,15,14,Sun,W 23-0,,22,112,5.09,0
675,DET,2019,2019-09-08,4:25,2:25,@,ARI,1,1,Sun,T 27-27,OT,23,112,4.87,0
676,GB,2017,2017-10-15,1:00,3:00,@,MIN,6,6,Sun,L 10-23,,32,112,3.50,1
677,GB,2017,2017-12-23,8:30,7:30,,MIN,16,15,Sat,L 0-16,,33,112,3.39,0
678,GB,2019,2019-11-24,8:20,5:20,@,SF,12,11,Sun,L 8-37,,22,112,5.09,2
679,KC,2017,2017-11-19,1:00,1:00,@,NYG,11,10,Sun,L 9-12,OT,32,112,3.50,1
680,MIA,2019,2019-12-08,1:00,1:00,@,NYJ,14,13,Sun,L 21-22,,32,112,3.50,0
681,NO,2017,2017-12-03,4:25,12:00,,CAR,13,12,Sun,W 31-21,,23,112,4.87,1
682,NO,2018,2018-09-09,1:00,12:00,,TB,1,1,Sun,L 40-48,,34,112,3.29,1
683,NYJ,2017,2017-12-03,1:00,1:00,,KC,13,12,Sun,W 38-31,,11,112,10.18,0
684,PHI,2017,2017-09-17,1:00,12:00,@,KC,2,2,Sun,L 20-27,,19,112,5.89,2
685,PHI,2017,2017-11-19,8:30,7:30,@,DAL,11,10,Sun,W 37-9,,27,112,4.15,0
686,BAL,2018,2018-10-07,1:00,1:00,@,CLE,5,5,Sun,L 9-12,OT,28,112,4.00,0
687,SF,2017,2017-10-29,1:00,1:00,@,PHI,8,8,Sun,L 10-33,,31,112,3.61,1
688,TB,2019,2019-10-06,1:00,12:00,@,NO,5,5,Sun,L 24-31,,31,112,3.61,0
689,BUF,2017,2017-09-24,1:00,1:00,,DEN,3,3,Sun,W 26-16,,23,111,4.83,1
690,CHI,2018,2018-11-22,12:30,12:30,@,DET,12,11,Thu,W 23-16,,24,111,4.63,2
691,IND,2017,2017-09-24,1:00,1:00,,CLE,3,3,Sun,W 31-28,,21,111,5.29,2
692,DEN,2018,2018-12-02,1:00,1:00,@,CIN,13,12,Sun,W 24-10,,23,111,4.83,0
693,KC,2017,2017-10-02,8:30,7:30,,WAS,4,4,Mon,W 29-20,,26,111,4.27,0
694,NO,2018,2018-12-30,1:00,12:00,,CAR,17,16,Sun,L 14-33,,37,111,3.00,2
695,NYG,2017,2017-10-01,4:05,4:05,@,TB,4,4,Sun,L 23-25,,23,111,4.83,0
696,NYJ,2019,2019-10-27,1:00,1:00,@,JAC,8,7,Sun,L 15-29,,34,111,3.26,0
697,LA,2017,2017-11-05,1:00,1:00,@,NYG,9,8,Sun,W 51-17,,26,111,4.27,0
698,LA,2018,2018-12-16,8:20,5:20,,PHI,15,14,Sun,L 23-30,,30,111,3.70,3
699,LAC,2017,2017-09-17,4:05,1:05,,MIA,2,2,Sun,L 17-19,,32,111,3.47,0
700,CHI,2017,2017-12-03,1:00,12:00,,SF,13,12,Sun,L 14-15,,34,110,3.24,0
701,CHI,2019,2019-11-17,8:20,5:20,@,LA,11,10,Sun,L 7-17,,34,110,3.24,2
702,DEN,2017,2017-12-31,4:25,2:25,,KC,17,16,Sun,L 24-27,,27,110,4.07,2
703,GB,2017,2017-09-24,4:25,3:25,,CIN,3,3,Sun,W 27-24,OT,30,110,3.67,0
704,KC,2017,2017-12-31,4:25,2:25,@,DEN,17,16,Sun,W 27-24,,29,110,3.79,0
705,NO,2017,2017-12-31,4:25,1:00,@,TB,17,16,Sun,L 24-31,,28,110,3.93,2
706,NO,2018,2018-11-11,1:00,1:00,@,CIN,10,9,Sun,W 51-14,,16,110,6.88,1
707,BUF,2018,2018-09-16,1:00,1:00,,LAC,2,2,Sun,L 20-31,,26,109,4.19,1
